Customer ID,Top_Feature,SHAP_Value,Influence
8919-FYFQZ,Number of Referrals,0.8782037,Positive (促使流失)
6646-QVXLR,Contract,0.71443605,Positive (促使流失)
9369-XFEHK,Contract,0.7352288,Positive (促使流失)
1374-DMZUI,Number of Referrals,-1.9597825,Negative (抑制流失)
1989-PRJHP,Contract,0.6923582,Positive (促使流失)
4822-RVYBB,Contract,0.7535193,Positive (促使流失)
4184-TJFAN,Contract,0.5423546,Positive (促使流失)
4145-UQXUQ,Contract,0.4957893,Positive (促使流失)
1236-WFCDV,Contract,-1.5001199,Negative (抑制流失)
1271-SJBGZ,Contract,0.80085105,Positive (促使流失)
4441-NIHPT,Number of Referrals,-0.745796,Negative (抑制流失)
8999-BOHSE,Contract,0.5433827,Positive (促使流失)
7029-RPUAV,Contract,0.8514314,Positive (促使流失)
8111-SLLHI,Contract,-0.78712225,Negative (抑制流失)
5293-WXJAK,Contract,-0.7502622,Negative (抑制流失)
4086-YQSNZ,Contract,-1.5169159,Negative (抑制流失)
8399-YNDCH,Number of Referrals,0.7052209,Positive (促使流失)
5565-FILXA,Contract,0.93482435,Positive (促使流失)
4187-CINZD,Number of Referrals,-1.7665665,Negative (抑制流失)
6818-WOBHJ,Contract,0.663697,Positive (促使流失)
9134-CEQMF,Contract,0.52411526,Positive (促使流失)
8519-IMDHU,Contract,0.6924541,Positive (促使流失)
3372-KWFBM,Contract,0.62023175,Positive (促使流失)
7206-GZCDC,Contract,0.9261276,Positive (促使流失)
1768-ZAIFU,Contract,-1.5407355,Negative (抑制流失)
3793-MMFUH,Contract,-1.5993223,Negative (抑制流失)
6567-HOOPW,charge_per_tenure,-0.5225598,Negative (抑制流失)
8621-MNIHH,Contract,0.7789238,Positive (促使流失)
5419-CONWX,Contract,-1.4979699,Negative (抑制流失)
7024-OHCCK,Contract,-1.2510169,Negative (抑制流失)
5357-TZHPP,Contract,0.661794,Positive (促使流失)
0506-LVNGN,Contract,-0.56886363,Negative (抑制流失)
9809-IMGCQ,Contract,0.6467715,Positive (促使流失)
3254-YRILK,charge_per_tenure,0.83822435,Positive (促使流失)
0529-ONKER,Contract,0.6991122,Positive (促使流失)
5240-IJOQT,Contract,-1.2915657,Negative (抑制流失)
0661-XEYAN,Contract,-0.86524117,Negative (抑制流失)
2660-EMUBI,Number of Referrals,0.80347854,Positive (促使流失)
7675-OZCZG,Age,0.85543066,Positive (促使流失)
9391-EOYLI,charge_per_tenure,-0.6462999,Negative (抑制流失)
2761-OCIAX,Number of Referrals,0.8939997,Positive (促使流失)
3068-OMWZA,Contract,0.57354677,Positive (促使流失)
4154-AQUGT,Contract,-1.9623499,Negative (抑制流失)
8017-LXHFA,Contract,0.8263854,Positive (促使流失)
4248-QPAVC,Contract,0.8840604,Positive (促使流失)
4690-LLKUA,Contract,-0.6643299,Negative (抑制流失)
9490-DFPMD,Contract,0.62924623,Positive (促使流失)
8580-AECUZ,Contract,0.7316711,Positive (促使流失)
5047-LHVLY,Contract,-1.7449224,Negative (抑制流失)
8375-DKEBR,Contract,0.6159105,Positive (促使流失)
7279-BUYWN,Number of Referrals,-0.9982784,Negative (抑制流失)
7156-MHUGY,Monthly Charge,0.5140211,Positive (促使流失)
9606-PBKBQ,Contract,0.7874291,Positive (促使流失)
3536-IQCTX,Number of Referrals,-1.7771965,Negative (抑制流失)
3132-TVFDZ,Contract,-0.7797508,Negative (抑制流失)
8080-DDEMJ,Contract,-1.2437274,Negative (抑制流失)
6702-OHFWR,charge_per_tenure,0.7238514,Positive (促使流失)
4510-PYUSH,Contract,0.68015665,Positive (促使流失)
8840-DQLGN,Number of Referrals,-0.69961613,Negative (抑制流失)
4193-ORFCL,Contract,0.6313952,Positive (促使流失)
7776-QWNFX,charge_per_tenure,1.1163423,Positive (促使流失)
6689-TCZHQ,Age,0.838029,Positive (促使流失)
9497-QCMMS,Contract,-1.5242376,Negative (抑制流失)
3424-NMNBO,Contract,0.635126,Positive (促使流失)
4514-GFCFI,Contract,-0.5790143,Negative (抑制流失)
8000-REIQB,Number of Referrals,-1.811713,Negative (抑制流失)
4795-KTRTH,Contract,0.6346187,Positive (促使流失)
9961-JBNMK,Contract,-1.5172246,Negative (抑制流失)
6179-GJPSO,Contract,0.68761355,Positive (促使流失)
8290-YWKHZ,Number of Referrals,-0.7057303,Negative (抑制流失)
8051-HJRLT,Contract,0.7184948,Positive (促使流失)
4021-RQSNY,Contract,0.6825868,Positive (促使流失)
9061-TIHDA,Contract,0.6377214,Positive (促使流失)
8699-ASUFO,Contract,-2.1726286,Negative (抑制流失)
4695-WJZUE,Number of Referrals,-0.6699636,Negative (抑制流失)
3988-RQIXO,Number of Referrals,-1.0589241,Negative (抑制流失)
5931-FLJJF,charge_per_tenure,-0.646302,Negative (抑制流失)
3207-OYBWH,Contract,-0.60141987,Negative (抑制流失)
7216-EWTRS,Contract,-1.375911,Negative (抑制流失)
2528-HFYZX,Contract,0.7881557,Positive (促使流失)
4140-MUHUG,Number of Referrals,-2.1763806,Negative (抑制流失)
1587-FKLZB,Number of Referrals,-1.8314133,Negative (抑制流失)
5440-FLBQG,Age,0.8249378,Positive (促使流失)
2774-LVQUS,Contract,-0.6881159,Negative (抑制流失)
4612-THJBS,Contract,-1.3532192,Negative (抑制流失)
4094-NSEDU,Number of Referrals,-0.9709717,Negative (抑制流失)
1846-XWOQN,Contract,0.6299108,Positive (促使流失)
3757-NJYBX,Age,0.76601195,Positive (促使流失)
9898-KZQDZ,Contract,-1.3447686,Negative (抑制流失)
8263-JQAIK,Contract,-1.6709712,Negative (抑制流失)
2205-YMZZJ,Contract,-1.3164139,Negative (抑制流失)
1254-IZEYF,Contract,0.5830465,Positive (促使流失)
9221-OTIVJ,Contract,0.65586996,Positive (促使流失)
5908-QMGOE,Contract,-1.4261341,Negative (抑制流失)
0397-GZBBC,Number of Referrals,0.5586436,Positive (促使流失)
7641-EUYET,Contract,-0.548842,Negative (抑制流失)
8922-LIEGH,Contract,-1.4269829,Negative (抑制流失)
8245-UMPYT,Contract,0.7509053,Positive (促使流失)
5186-SAMNZ,Number of Referrals,0.9247961,Positive (促使流失)
5373-SFODM,Contract,0.73867285,Positive (促使流失)
0022-TCJCI,Contract,0.6758615,Positive (促使流失)
5130-IEKQT,Number of Referrals,-0.69517183,Negative (抑制流失)
3269-ATYWD,Contract,-0.70092183,Negative (抑制流失)
0354-WYROK,Contract,0.61030173,Positive (促使流失)
7576-OYWBN,Contract,-1.3261026,Negative (抑制流失)
5539-TMZLF,Contract,0.76783645,Positive (促使流失)
3336-JORSO,Contract,-1.527351,Negative (抑制流失)
6861-XWTWQ,Contract,0.7064839,Positive (促使流失)
4283-FUTGF,Contract,-0.7227258,Negative (抑制流失)
2397-BRLOM,Contract,-0.7437899,Negative (抑制流失)
8510-AWCXC,Contract,-1.367651,Negative (抑制流失)
8225-BTJAU,charge_per_tenure,0.7979079,Positive (促使流失)
1724-BQUHA,Contract,0.6626885,Positive (促使流失)
4826-XTSOH,Contract,0.77126193,Positive (促使流失)
2408-WITXK,Contract,-0.8629304,Negative (抑制流失)
2634-HCZGT,Number of Referrals,-2.1524477,Negative (抑制流失)
7503-QQRVF,Contract,-1.3017517,Negative (抑制流失)
0709-TVGUR,Contract,0.67897403,Positive (促使流失)
3001-CBHLQ,Number of Referrals,-1.9693844,Negative (抑制流失)
4102-OQUPX,Number of Referrals,-2.380067,Negative (抑制流失)
3999-QGRJH,Contract,0.5730523,Positive (促使流失)
2454-RPBRZ,Contract,-1.6051434,Negative (抑制流失)
2265-CYWIV,Contract,0.72062415,Positive (促使流失)
4550-VBOFE,Contract,0.87628883,Positive (促使流失)
7409-KIUTL,Number of Referrals,-1.502944,Negative (抑制流失)
1732-VHUBQ,Number of Referrals,-1.3554634,Negative (抑制流失)
0679-IDSTG,Contract,-1.7931042,Negative (抑制流失)
8802-UNOJF,Number of Referrals,0.6312453,Positive (促使流失)
6313-GIDIT,Contract,0.48855639,Positive (促使流失)
2845-AFFTX,Contract,-1.1059486,Negative (抑制流失)
2815-CPTUL,Contract,0.61187214,Positive (促使流失)
1891-FZYSA,Contract,-1.5065607,Negative (抑制流失)
9685-WKZGT,Contract,0.7069452,Positive (促使流失)
6022-UGGSO,Contract,-1.2573608,Negative (抑制流失)
3923-CSIHK,Number of Referrals,-1.9427204,Negative (抑制流失)
3677-IYRBF,Number of Referrals,-1.5214797,Negative (抑制流失)
8118-LSUEL,Number of Referrals,-0.7279814,Negative (抑制流失)
5277-ZLOOR,Contract,0.5716834,Positive (促使流失)
4248-HCETZ,Number of Referrals,-1.4320991,Negative (抑制流失)
9174-FKWZE,Contract,0.6826896,Positive (促使流失)
5307-DZCVC,Number of Referrals,-1.6592553,Negative (抑制流失)
8679-JOEVF,Contract,-0.5216172,Negative (抑制流失)
4803-AXVYP,Number of Referrals,0.7126654,Positive (促使流失)
5649-ANRML,Contract,-1.5386788,Negative (抑制流失)
7395-IGJOS,Contract,0.5391048,Positive (促使流失)
7890-VYYWG,Contract,0.67082936,Positive (促使流失)
9907-SWKKF,Contract,0.60202473,Positive (促使流失)
6397-JNZZG,charge_per_tenure,0.8005597,Positive (促使流失)
7779-LGOVN,Contract,0.45268232,Positive (促使流失)
9710-ZUSHQ,Number of Referrals,0.64090204,Positive (促使流失)
3902-FOIGH,charge_per_tenure,0.8296979,Positive (促使流失)
3318-OSATS,Number of Referrals,-1.8539366,Negative (抑制流失)
2636-ALXXZ,Contract,0.7453564,Positive (促使流失)
9885-CSMWE,Contract,0.55334336,Positive (促使流失)
8058-JMEQO,Number of Referrals,-1.951227,Negative (抑制流失)
7657-DYEPJ,Number of Referrals,-1.8204409,Negative (抑制流失)
8276-MQBYC,Contract,-1.3538251,Negative (抑制流失)
6015-VVHHE,Contract,-0.48370916,Negative (抑制流失)
2516-VQRRV,Contract,0.69755983,Positive (促使流失)
7580-UGXNC,Contract,0.7693306,Positive (促使流失)
5178-LMXOP,Contract,-1.4542322,Negative (抑制流失)
7056-IMHCC,Number of Referrals,0.6960996,Positive (促使流失)
8749-JMNKX,Contract,-0.59189785,Negative (抑制流失)
0917-EZOLA,Contract,-0.6337394,Negative (抑制流失)
8414-MYSHR,Number of Referrals,-1.8292503,Negative (抑制流失)
4988-IQIGL,Number of Referrals,-1.7255769,Negative (抑制流失)
4706-AXVKM,Contract,-0.77866185,Negative (抑制流失)
5889-JTMUL,Contract,0.6710041,Positive (促使流失)
9026-RNUJS,charge_per_tenure,0.6857738,Positive (促使流失)
1624-NALOJ,Number of Referrals,-1.8723205,Negative (抑制流失)
6210-KBBPI,Contract,-1.6375948,Negative (抑制流失)
2260-USTRB,Number of Referrals,0.72254586,Positive (促使流失)
8623-TMRBY,Contract,0.63149595,Positive (促使流失)
6900-PXRMS,Number of Referrals,-1.6549221,Negative (抑制流失)
3346-BRMIS,charge_per_tenure,0.82782274,Positive (促使流失)
2722-JMONI,Number of Referrals,0.5735842,Positive (促使流失)
7579-OOPEC,Contract,-1.4507797,Negative (抑制流失)
1771-OADNZ,Number of Referrals,0.9272845,Positive (促使流失)
0612-RTZZA,Contract,-1.5539187,Negative (抑制流失)
4433-JCGCG,Contract,0.6682129,Positive (促使流失)
9488-HGMJH,Contract,0.5509491,Positive (促使流失)
4818-QIUFN,Contract,0.5863835,Positive (促使流失)
6961-VCPMC,Contract,-0.6341735,Negative (抑制流失)
4424-TKOPW,Contract,0.56205636,Positive (促使流失)
4201-JMNGR,Contract,0.63297665,Positive (促使流失)
1866-RZZQS,charge_per_tenure,0.8001235,Positive (促使流失)
8631-NBHFZ,Contract,0.7980053,Positive (促使流失)
4958-XCBDQ,Contract,-0.7741685,Negative (抑制流失)
8337-UPOAQ,Contract,0.6470634,Positive (促使流失)
6712-OAWRH,Number of Referrals,0.75120187,Positive (促使流失)
5914-DVBWJ,Number of Referrals,-1.5199405,Negative (抑制流失)
8644-XLFBW,Contract,-1.3411108,Negative (抑制流失)
1833-VGRUM,charge_per_tenure,-0.60349226,Negative (抑制流失)
8374-XGEJJ,Contract,-0.60749364,Negative (抑制流失)
6946-LMSQS,charge_per_tenure,0.8617453,Positive (促使流失)
4039-HEUNW,Contract,-1.8847866,Negative (抑制流失)
0812-WUPTB,Contract,-0.63683426,Negative (抑制流失)
2403-BCASL,Contract,-0.613163,Negative (抑制流失)
3871-IKPYH,Number of Referrals,-1.8608553,Negative (抑制流失)
1304-NECVQ,Contract,-0.59144336,Negative (抑制流失)
5655-JSMZM,charge_per_tenure,0.80328834,Positive (促使流失)
4505-EXZHB,Number of Referrals,0.5656138,Positive (促使流失)
8972-HJWNV,Contract,0.86051136,Positive (促使流失)
2860-RANUS,Contract,0.529247,Positive (促使流失)
0406-BPDVR,Contract,0.73558635,Positive (促使流失)
5276-KQWHG,Contract,0.8114427,Positive (促使流失)
9667-EQRXU,Contract,0.8905853,Positive (促使流失)
0946-CLJTI,Contract,-1.4956914,Negative (抑制流失)
0324-BRPCJ,Contract,-1.5278474,Negative (抑制流失)
9189-JWSHV,Number of Referrals,-1.9499228,Negative (抑制流失)
0576-WNXXC,Contract,-1.626849,Negative (抑制流失)
5482-PLVPE,Contract,-0.6432086,Negative (抑制流失)
4902-OHLSK,Contract,-0.5447466,Negative (抑制流失)
0495-ZBNGW,Contract,0.5737803,Positive (促使流失)
2357-COQEK,Contract,-1.502115,Negative (抑制流失)
2034-CGRHZ,charge_per_tenure,-0.58739865,Negative (抑制流失)
9360-AHGNL,Contract,0.67504895,Positive (促使流失)
5485-WUYWF,Contract,-1.3573884,Negative (抑制流失)
2632-UCGVD,Contract,0.7267406,Positive (促使流失)
6425-YQLLO,Contract,-1.8999336,Negative (抑制流失)
2091-RFFBA,Number of Referrals,-1.4653312,Negative (抑制流失)
6899-PPEEA,Number of Referrals,-2.2982368,Negative (抑制流失)
4597-NUCQV,Contract,-1.680423,Negative (抑制流失)
3754-DXMRT,Number of Referrals,-1.5418112,Negative (抑制流失)
7130-VTEWQ,charge_per_tenure,-0.6499813,Negative (抑制流失)
7903-CMPEY,Contract,0.6838714,Positive (促使流失)
1704-NRWYE,Monthly Charge,0.438482,Positive (促使流失)
7481-ATQQS,Contract,-0.7371042,Negative (抑制流失)
0023-HGHWL,Contract,0.7116522,Positive (促使流失)
1792-UXAFY,Contract,-1.4969708,Negative (抑制流失)
6161-UUUTA,Number of Referrals,0.83969486,Positive (促使流失)
6543-XRMYR,Number of Referrals,-0.5359224,Negative (抑制流失)
2479-BRAMR,Contract,0.5463663,Positive (促使流失)
3714-JTVOV,Contract,-1.3754148,Negative (抑制流失)
8580-QVLOC,Number of Referrals,0.64485264,Positive (促使流失)
2012-NWRPA,Contract,0.8124703,Positive (促使流失)
8808-ELEHO,Contract,-0.67334735,Negative (抑制流失)
9058-CBREO,Contract,0.7900924,Positive (促使流失)
8063-GBATB,Number of Referrals,-1.7145509,Negative (抑制流失)
1069-XAIEM,Contract,0.61691594,Positive (促使流失)
6987-XQSJT,Contract,-1.507934,Negative (抑制流失)
0722-TROQR,Number of Referrals,0.6261697,Positive (促使流失)
6402-ZFPPI,Contract,-1.6133032,Negative (抑制流失)
9965-YOKZB,Number of Referrals,-2.6156032,Negative (抑制流失)
0504-HHAPI,Number of Referrals,0.6703027,Positive (促使流失)
3791-LGQCY,Contract,0.55316603,Positive (促使流失)
8166-ZZTFS,Contract,0.6732159,Positive (促使流失)
2956-GGUCQ,Contract,-1.3693432,Negative (抑制流失)
2778-OCLGR,Contract,0.5196666,Positive (促使流失)
7067-KSAZT,Number of Referrals,-2.1204507,Negative (抑制流失)
9300-AGZNL,Contract,-1.6298226,Negative (抑制流失)
1112-CUNAO,Number of Referrals,-0.7685238,Negative (抑制流失)
3389-YGYAI,Number of Referrals,-1.7740289,Negative (抑制流失)
3070-DVEYC,Contract,0.72464406,Positive (促使流失)
5707-ORNDZ,Contract,0.7797305,Positive (促使流失)
8696-JKZNU,Contract,0.623764,Positive (促使流失)
2055-PDADH,Contract,0.5846812,Positive (促使流失)
2302-ANTDP,Number of Referrals,-1.9990553,Negative (抑制流失)
5233-GEEAX,Contract,0.5176668,Positive (促使流失)
7137-RYLPP,Contract,0.77839726,Positive (促使流失)
3957-LXOLK,Number of Referrals,-1.4617116,Negative (抑制流失)
5281-BUZGT,Number of Referrals,0.78071874,Positive (促使流失)
2718-GAXQD,Contract,-1.345172,Negative (抑制流失)
3217-FZDMN,Number of Referrals,-1.5602046,Negative (抑制流失)
7480-QNVZJ,Contract,0.6973993,Positive (促使流失)
7124-UGSUR,Contract,0.5867119,Positive (促使流失)
1862-SKORY,Number of Referrals,0.578124,Positive (促使流失)
4816-JBHOV,Contract,0.67421293,Positive (促使流失)
3247-ZVOUO,Contract,0.72638035,Positive (促使流失)
1268-ASBGA,Number of Referrals,-2.3988922,Negative (抑制流失)
4713-LZDRV,Contract,0.81187403,Positive (促使流失)
4325-NFSKC,charge_per_tenure,0.9187431,Positive (促使流失)
6502-HCJTI,Number of Referrals,-0.53689957,Negative (抑制流失)
8258-GSTJK,Contract,-1.72241,Negative (抑制流失)
2995-UPRYS,Contract,0.54221684,Positive (促使流失)
6686-YPGHK,Contract,-0.69328445,Negative (抑制流失)
8020-BWHYL,Contract,0.8791772,Positive (促使流失)
6892-XPFPU,Contract,0.5656836,Positive (促使流失)
8010-EZLOU,Contract,-0.52839875,Negative (抑制流失)
8062-YBDOE,Contract,-0.716879,Negative (抑制流失)
3672-YITQD,Contract,-0.7491831,Negative (抑制流失)
8988-ECPJR,Age,0.91861767,Positive (促使流失)
3776-EKTKM,Contract,0.6877987,Positive (促使流失)
0643-OKLRP,Contract,0.51697534,Positive (促使流失)
9381-NDKME,Number of Referrals,0.74364305,Positive (促使流失)
8327-LZKAS,Number of Referrals,0.6942738,Positive (促使流失)
1075-BGWOH,Contract,-1.4544691,Negative (抑制流失)
8485-GJCDN,Contract,0.8027493,Positive (促使流失)
6029-WTIPC,Number of Referrals,0.65026844,Positive (促使流失)
3317-HRTNN,Age,0.91949403,Positive (促使流失)
5569-OUICF,Contract,0.5984107,Positive (促使流失)
5747-PMBSQ,Contract,0.6047839,Positive (促使流失)
2982-IHMFT,Contract,-0.5750513,Negative (抑制流失)
5143-EGQFK,Contract,-1.3127531,Negative (抑制流失)
6168-WFVVF,Number of Referrals,-0.6936291,Negative (抑制流失)
7450-NWRTR,Contract,-1.5102357,Negative (抑制流失)
6005-OBZPH,Contract,-0.82223207,Negative (抑制流失)
7932-WPTDS,Contract,0.7006562,Positive (促使流失)
7000-WCEVQ,Contract,-0.74681205,Negative (抑制流失)
5959-BELXA,Number of Referrals,0.7131632,Positive (促使流失)
2506-TNFCO,Contract,0.64657164,Positive (促使流失)
6060-DRTNL,Contract,-0.6515312,Negative (抑制流失)
8473-VUVJN,Number of Referrals,0.7087102,Positive (促使流失)
0196-VULGZ,Number of Referrals,-1.2618928,Negative (抑制流失)
1976-CFOCS,Number of Referrals,-0.97094744,Negative (抑制流失)
4631-OACRM,Contract,0.77709967,Positive (促使流失)
3755-JBMNH,Number of Referrals,0.7561437,Positive (促使流失)
6345-ULYRW,Number of Referrals,-0.81706935,Negative (抑制流失)
0013-EXCHZ,Contract,0.62080395,Positive (促使流失)
5550-VFRLC,Contract,0.69170505,Positive (促使流失)
2657-ALMWY,Contract,0.674185,Positive (促使流失)
6284-AHOOQ,Contract,0.6347146,Positive (促使流失)
2460-FPSYH,Contract,0.91781056,Positive (促使流失)
5028-HTLJB,charge_per_tenure,-0.5032128,Negative (抑制流失)
0875-CABNR,Number of Referrals,0.86690927,Positive (促使流失)
6982-UQZLY,Number of Referrals,-0.88096076,Negative (抑制流失)
0193-ESZXP,Contract,-0.69378746,Negative (抑制流失)
4369-HTUIF,Contract,-2.0054207,Negative (抑制流失)
5287-QWLKY,Monthly Charge,0.48124978,Positive (促使流失)
1891-UAWWU,Contract,-1.5740426,Negative (抑制流失)
3096-JRDSO,Contract,-1.4393449,Negative (抑制流失)
2398-YPMUR,Contract,-1.5145441,Negative (抑制流失)
1265-XTECC,Contract,0.6369648,Positive (促使流失)
4871-JTKJF,Contract,0.5967551,Positive (促使流失)
1415-YFWLT,Contract,0.8399211,Positive (促使流失)
3500-RMZLT,Number of Referrals,-1.5404294,Negative (抑制流失)
2642-DTVCO,Monthly Charge,0.447534,Positive (促使流失)
1363-TXLSL,Contract,0.74184746,Positive (促使流失)
7136-RVDTZ,charge_per_tenure,0.7189312,Positive (促使流失)
6927-WTFIV,Contract,0.7835579,Positive (促使流失)
3398-ZOUAA,Contract,0.67316556,Positive (促使流失)
4844-JJWUY,Number of Referrals,-1.9849213,Negative (抑制流失)
4785-QRJHC,Contract,-1.015067,Negative (抑制流失)
1965-AKTSX,Contract,-0.8912699,Negative (抑制流失)
7248-VZQLC,Contract,0.6334934,Positive (促使流失)
0011-IGKFF,Contract,0.61119187,Positive (促使流失)
6496-SLWHQ,Number of Referrals,0.9638814,Positive (促使流失)
9912-GVSEQ,Contract,-1.3901693,Negative (抑制流失)
5383-MMTWC,Contract,0.65758395,Positive (促使流失)
6877-LGWXO,Number of Referrals,0.8695919,Positive (促使流失)
5167-GBFRE,Contract,-1.6524241,Negative (抑制流失)
1324-NLTJE,Contract,0.74881005,Positive (促使流失)
5567-WSELE,Contract,-1.4523126,Negative (抑制流失)
6646-VRFOL,Contract,-1.180323,Negative (抑制流失)
9090-SGQXL,Number of Referrals,-2.5540898,Negative (抑制流失)
6595-YGXIT,Contract,-1.2632129,Negative (抑制流失)
9835-ZIITK,Contract,0.91907316,Positive (促使流失)
5649-TJHOV,Contract,0.6431839,Positive (促使流失)
9253-QXKBE,Contract,-0.48272705,Negative (抑制流失)
8775-LHDJH,Contract,0.6502733,Positive (促使流失)
3097-NQYSN,Contract,0.5607914,Positive (促使流失)
3565-UNOCC,Contract,0.66186947,Positive (促使流失)
9190-MFJLN,Contract,0.7702166,Positive (促使流失)
1095-JUDTC,Contract,0.7647779,Positive (促使流失)
5385-SUIRI,Contract,0.54561704,Positive (促使流失)
6328-ZPBGN,Number of Referrals,-2.130628,Negative (抑制流失)
2856-NNASM,Number of Referrals,-2.2174025,Negative (抑制流失)
6769-DYBQN,Contract,0.6638018,Positive (促使流失)
2446-BEGGB,Contract,0.59405214,Positive (促使流失)
1496-GGSUK,charge_per_tenure,0.70151097,Positive (促使流失)
3296-SILRA,Number of Referrals,-2.207246,Negative (抑制流失)
5180-UCIIQ,Contract,-1.0702332,Negative (抑制流失)
1977-STDKI,Contract,0.6680649,Positive (促使流失)
5813-UECBU,Contract,0.76828784,Positive (促使流失)
4342-HENTK,Contract,-0.7965978,Negative (抑制流失)
1597-LHYNC,Age,0.7439058,Positive (促使流失)
8651-ENBZX,Contract,0.547158,Positive (促使流失)
9286-DOJGF,Contract,0.5295897,Positive (促使流失)
9661-MHUMO,Contract,-1.1392245,Negative (抑制流失)
8884-ADFVN,Number of Referrals,-1.1711322,Negative (抑制流失)
2720-WGKHP,Contract,-2.0188878,Negative (抑制流失)
9776-CLUJA,Contract,0.5566459,Positive (促使流失)
3551-HUAZH,Contract,0.60778886,Positive (促使流失)
8634-MPHTR,Contract,-0.66751873,Negative (抑制流失)
2474-BRUCM,Contract,-1.3982371,Negative (抑制流失)
0616-ATFGB,Contract,0.82081795,Positive (促使流失)
7235-NXZCP,Number of Referrals,-2.4648066,Negative (抑制流失)
6661-HBGWL,Age,0.93080395,Positive (促使流失)
9317-WZPGV,Contract,0.5645499,Positive (促使流失)
3621-CEOVK,Contract,0.54703885,Positive (促使流失)
7632-MNYOY,Contract,0.6794858,Positive (促使流失)
9248-OJYKK,Contract,0.7342999,Positive (促使流失)
3398-FSHON,Number of Referrals,-1.8115741,Negative (抑制流失)
3319-DWOEP,Number of Referrals,-2.2637146,Negative (抑制流失)
0818-OCPZO,Number of Referrals,0.76004803,Positive (促使流失)
1389-CXMLU,Contract,0.8702098,Positive (促使流失)
5561-NWEVX,Number of Referrals,-1.331707,Negative (抑制流失)
