Customer ID,Persona,raw_cluster,Churn Value,Age,married_bin,senior_bin,Number of Dependents,Tenure in Months,Monthly Charge,is_fiber,is_mpm,protection_count,Number of Referrals,Satisfaction Score,CLTV
2516-VQRRV,P3: Senior Digital Adopter,1,1,77,0,1,0,2,75.45,1,1,0,0,3,3350
7580-UGXNC,P3: Senior Digital Adopter,1,1,73,0,1,0,2,54.85,0,1,2,0,1,3016
5178-LMXOP,P3: Senior Digital Adopter,1,1,71,1,1,0,1,95.1,1,1,0,1,1,5795
7056-IMHCC,P3: Senior Digital Adopter,1,1,69,1,1,0,53,101.9,1,1,1,1,1,5884
8749-JMNKX,P3: Senior Digital Adopter,1,1,80,1,1,0,51,93.8,1,1,2,1,1,4788
0917-EZOLA,P3: Senior Digital Adopter,1,1,66,1,1,0,72,104.15,1,0,2,0,3,5925
8414-MYSHR,P3: Senior Digital Adopter,1,1,79,0,1,0,5,91.4,1,1,0,0,1,2834
4988-IQIGL,P3: Senior Digital Adopter,1,1,80,0,1,0,1,75.35,1,1,0,0,3,4403
4706-AXVKM,P3: Senior Digital Adopter,1,1,78,0,1,0,11,84.8,1,1,0,0,2,5118
5889-JTMUL,P3: Senior Digital Adopter,1,1,67,1,1,0,50,95.05,1,1,2,1,3,5863
9026-RNUJS,P3: Senior Digital Adopter,1,1,73,0,1,0,5,50.35,0,1,1,0,1,4618
1624-NALOJ,P3: Senior Digital Adopter,1,1,75,0,1,0,5,89.8,1,1,1,0,1,2960
6210-KBBPI,P3: Senior Digital Adopter,1,1,67,0,1,0,9,99.45,1,1,1,0,1,2313
2260-USTRB,P3: Senior Digital Adopter,1,1,75,0,1,0,2,70.2,1,1,0,0,1,2767
8623-TMRBY,P3: Senior Digital Adopter,1,1,80,1,1,0,51,84.2,0,1,2,2,2,6245
6900-PXRMS,P3: Senior Digital Adopter,1,1,72,1,1,0,26,105.75,1,1,2,0,1,3157
3346-BRMIS,P3: Senior Digital Adopter,1,1,70,1,1,0,18,48.35,0,1,1,1,2,2167
2722-JMONI,P3: Senior Digital Adopter,1,1,73,1,1,0,1,49.55,0,1,1,1,1,4989
7579-OOPEC,P3: Senior Digital Adopter,1,1,75,1,1,0,2,50.15,0,1,1,1,1,5461
1771-OADNZ,P3: Senior Digital Adopter,1,1,70,1,1,0,29,95.9,1,1,2,1,3,2151
0612-RTZZA,P3: Senior Digital Adopter,1,1,77,0,1,0,1,25.25,0,1,0,0,2,4628
4433-JCGCG,P3: Senior Digital Adopter,1,1,80,1,1,0,46,101.0,1,1,1,1,1,2436
9488-HGMJH,P3: Senior Digital Adopter,1,1,78,0,1,0,1,71.15,1,1,0,0,3,5287
4818-QIUFN,P3: Senior Digital Adopter,1,1,69,0,1,0,20,79.15,1,1,1,0,1,4997
6961-VCPMC,P3: Senior Digital Adopter,1,1,71,1,1,0,46,80.4,1,1,0,1,3,4876
4424-TKOPW,P3: Senior Digital Adopter,1,1,70,0,1,0,2,93.85,1,1,0,0,1,4998
4201-JMNGR,P3: Senior Digital Adopter,1,1,66,0,1,0,1,55.8,0,1,2,0,1,5527
1866-RZZQS,P3: Senior Digital Adopter,1,1,77,0,1,0,41,98.4,1,1,1,0,1,2169
8631-NBHFZ,P3: Senior Digital Adopter,1,1,71,1,1,0,66,79.4,0,0,4,1,1,5910
4958-XCBDQ,P3: Senior Digital Adopter,1,1,68,0,1,0,35,101.4,1,1,1,0,3,3689
8337-UPOAQ,P3: Senior Digital Adopter,1,1,71,1,1,0,10,89.8,1,1,1,0,2,5124
6712-OAWRH,P3: Senior Digital Adopter,1,1,79,0,1,0,26,91.25,1,1,0,0,3,5154
5914-DVBWJ,P3: Senior Digital Adopter,1,1,80,0,1,0,18,85.45,1,1,2,0,1,5145
8644-XLFBW,P3: Senior Digital Adopter,1,1,65,0,1,0,1,71.65,1,1,0,0,2,5674
1833-VGRUM,P3: Senior Digital Adopter,1,1,70,0,1,0,1,74.2,1,1,0,0,2,4684
8374-XGEJJ,P3: Senior Digital Adopter,1,1,68,1,1,0,43,101.0,1,1,1,8,1,3123
6946-LMSQS,P3: Senior Digital Adopter,1,1,80,1,1,0,25,89.05,1,0,1,3,1,2673
