Customer ID,churn_prob,risk_tier,Monthly Charge,Tenure in Months,Contract,Internet Type,Churn Value
9248-OJYKK,0.9478856,HIGH,76.45,1,Month-to-Month,Fiber Optic,1
5868-YWPDW,0.9472301,HIGH,84.2,6,Month-to-Month,Fiber Optic,1
2982-IHMFT,0.94702274,HIGH,74.45,1,Month-to-Month,Fiber Optic,1
7903-CMPEY,0.9466584,HIGH,80.3,1,Month-to-Month,Fiber Optic,1
4795-KTRTH,0.946218,HIGH,81.0,5,Month-to-Month,Fiber Optic,1
9253-QXKBE,0.94620085,HIGH,94.45,29,Month-to-Month,Fiber Optic,1
1977-STDKI,0.9461085,HIGH,73.0,1,Month-to-Month,Fiber Optic,1
4844-JJWUY,0.94608444,HIGH,86.0,1,Month-to-Month,Fiber Optic,1
9488-HGMJH,0.94607985,HIGH,71.15,1,Month-to-Month,Fiber Optic,1
1075-BGWOH,0.9457658,HIGH,98.75,16,Month-to-Month,Fiber Optic,1
4871-JTKJF,0.94575876,HIGH,69.65,1,Month-to-Month,Fiber Optic,1
5134-IKDAY,0.9454035,HIGH,69.8,1,Month-to-Month,Fiber Optic,1
5561-NWEVX,0.9452005,HIGH,79.2,2,Month-to-Month,Fiber Optic,1
2636-ALXXZ,0.9449241,HIGH,69.6,1,Month-to-Month,Fiber Optic,1
3988-RQIXO,0.94484097,HIGH,91.3,1,Month-to-Month,Fiber Optic,1
2265-CYWIV,0.9447285,HIGH,99.6,4,Month-to-Month,Fiber Optic,1
5539-TMZLF,0.9445299,HIGH,69.75,1,Month-to-Month,Fiber Optic,1
8644-XLFBW,0.944528,HIGH,71.65,1,Month-to-Month,Fiber Optic,1
1455-UGQVH,0.9445199,HIGH,98.5,10,Month-to-Month,Fiber Optic,1
2454-RPBRZ,0.94403434,HIGH,98.1,12,Month-to-Month,Fiber Optic,1
1989-PRJHP,0.9438382,HIGH,75.5,27,Month-to-Month,Fiber Optic,1
8821-XNHVZ,0.9437739,HIGH,80.05,1,Month-to-Month,Fiber Optic,1
3422-LYEPQ,0.9434158,HIGH,71.0,1,Month-to-Month,Fiber Optic,1
8098-LLAZX,0.94334936,HIGH,95.45,4,Month-to-Month,Fiber Optic,1
9274-CNFMO,0.94306284,HIGH,74.95,4,Month-to-Month,Fiber Optic,1
1400-MMYXY,0.9429448,HIGH,105.9,3,Month-to-Month,Fiber Optic,1
3068-OMWZA,0.94288975,HIGH,88.8,1,Month-to-Month,Fiber Optic,1
8699-ASUFO,0.94220126,HIGH,74.4,7,Month-to-Month,Fiber Optic,1
0812-WUPTB,0.9420141,HIGH,70.85,1,Month-to-Month,Fiber Optic,1
9912-GVSEQ,0.9417583,HIGH,93.85,26,Month-to-Month,Fiber Optic,1
9885-CSMWE,0.9417143,HIGH,78.45,1,Month-to-Month,Fiber Optic,1
8621-MNIHH,0.9416205,HIGH,94.25,34,Month-to-Month,Fiber Optic,1
8062-YBDOE,0.9415085,HIGH,69.65,1,Month-to-Month,Fiber Optic,1
4039-HEUNW,0.94139075,HIGH,96.5,36,Month-to-Month,Fiber Optic,1
2074-GKOWZ,0.94135875,HIGH,89.55,2,Month-to-Month,Fiber Optic,1
7206-GZCDC,0.94083786,HIGH,69.25,1,Month-to-Month,Cable,1
1853-UDXBW,0.9406411,HIGH,70.0,1,Month-to-Month,Fiber Optic,1
6210-KBBPI,0.94053984,HIGH,99.45,9,Month-to-Month,Fiber Optic,1
3801-HMYNL,0.9397679,HIGH,89.15,1,Month-to-Month,Fiber Optic,1
4910-GMJOT,0.93972665,HIGH,94.6,1,Month-to-Month,Fiber Optic,1
5564-NEMQO,0.9397187,HIGH,75.3,1,Month-to-Month,Fiber Optic,1
5244-IRFIH,0.9394971,HIGH,94.5,33,Month-to-Month,Fiber Optic,1
1624-NALOJ,0.93942195,HIGH,89.8,5,Month-to-Month,Fiber Optic,1
6328-ZPBGN,0.9393823,HIGH,95.15,11,Month-to-Month,Fiber Optic,1
8361-LTMKD,0.93932825,HIGH,74.4,4,Month-to-Month,Fiber Optic,1
9189-JWSHV,0.9392725,HIGH,93.55,24,Month-to-Month,Fiber Optic,1
8058-JMEQO,0.9391944,HIGH,84.45,9,Month-to-Month,Fiber Optic,1
9965-YOKZB,0.9391944,HIGH,83.85,9,Month-to-Month,Fiber Optic,1
9317-WZPGV,0.93904173,HIGH,79.75,2,Month-to-Month,Fiber Optic,1
5931-FLJJF,0.9390265,HIGH,70.1,7,Month-to-Month,Fiber Optic,1
5550-VFRLC,0.93846685,HIGH,69.85,1,Month-to-Month,Fiber Optic,1
4846-WHAFZ,0.9383998,HIGH,76.5,37,Month-to-Month,Fiber Optic,1
7450-NWRTR,0.9383838,HIGH,99.45,12,Month-to-Month,Fiber Optic,1
2656-TABEH,0.93796486,HIGH,100.2,4,Month-to-Month,Fiber Optic,1
1447-GIQMR,0.93782425,HIGH,69.15,1,Month-to-Month,Fiber Optic,1
3746-EUBYR,0.937486,HIGH,74.6,1,Month-to-Month,Fiber Optic,1
2516-VQRRV,0.9370261,HIGH,75.45,2,Month-to-Month,Fiber Optic,1
9391-EOYLI,0.9368328,HIGH,80.45,12,Month-to-Month,Fiber Optic,1
7908-QCBCA,0.9368007,HIGH,69.4,1,Month-to-Month,Fiber Optic,1
1374-DMZUI,0.93658555,HIGH,94.3,4,Month-to-Month,Fiber Optic,1
9725-SCPZG,0.93650585,HIGH,90.85,1,Month-to-Month,Fiber Optic,1
4806-HIPDW,0.9364185,HIGH,68.95,1,Month-to-Month,Fiber Optic,1
1925-TIBLE,0.93628585,HIGH,86.5,7,Month-to-Month,Fiber Optic,1
8519-IMDHU,0.9356967,HIGH,85.6,15,Month-to-Month,Cable,1
5644-PDMZC,0.93567216,HIGH,89.5,2,Month-to-Month,Fiber Optic,1
2205-YMZZJ,0.93566287,HIGH,84.8,7,Month-to-Month,Fiber Optic,1
6161-UUUTA,0.935627,HIGH,79.9,3,Month-to-Month,Fiber Optic,1
0576-WNXXC,0.9354784,HIGH,95.55,27,Month-to-Month,Fiber Optic,1
0661-XEYAN,0.93542325,HIGH,25.8,1,Month-to-Month,DSL,1
0616-ATFGB,0.9353675,HIGH,25.05,1,Month-to-Month,Cable,1
2956-GGUCQ,0.9352989,HIGH,78.85,24,Month-to-Month,Fiber Optic,1
4140-MUHUG,0.9350655,HIGH,86.85,3,Month-to-Month,Fiber Optic,1
9061-TIHDA,0.9350448,HIGH,95.25,13,Month-to-Month,Cable,1
4713-LZDRV,0.9350075,HIGH,79.6,2,Month-to-Month,Cable,1
0968-GSIKN,0.934746,HIGH,70.8,1,Month-to-Month,Fiber Optic,1
3198-VELRD,0.9343293,HIGH,84.75,3,Month-to-Month,Fiber Optic,1
1304-NECVQ,0.9342838,HIGH,78.55,2,Month-to-Month,Fiber Optic,1
8414-MYSHR,0.93425953,HIGH,91.4,5,Month-to-Month,Fiber Optic,1
5569-KGJHX,0.9340419,HIGH,85.35,9,Month-to-Month,Fiber Optic,1
0334-GDDSO,0.9340148,HIGH,81.35,3,Month-to-Month,Fiber Optic,1
0781-LKXBR,0.93379104,HIGH,100.5,9,Month-to-Month,Fiber Optic,1
7137-RYLPP,0.9337192,HIGH,85.7,37,Month-to-Month,Fiber Optic,1
2446-BEGGB,0.93364596,HIGH,98.25,6,Month-to-Month,Fiber Optic,1
8634-MPHTR,0.9334228,HIGH,100.05,47,Month-to-Month,Fiber Optic,1
8337-UPOAQ,0.9333534,HIGH,89.8,10,Month-to-Month,Fiber Optic,1
1891-UAWWU,0.93331486,HIGH,90.8,20,Month-to-Month,Fiber Optic,1
3793-MMFUH,0.9329695,HIGH,95.05,13,Month-to-Month,Fiber Optic,1
1273-MTETI,0.93295056,HIGH,88.85,4,Month-to-Month,Fiber Optic,1
3372-KWFBM,0.932703,HIGH,86.6,16,Month-to-Month,Fiber Optic,1
8149-RSOUN,0.9326874,HIGH,93.85,1,Month-to-Month,Fiber Optic,1
5804-LEPIM,0.93261427,HIGH,70.35,2,Month-to-Month,Fiber Optic,1
3672-YITQD,0.9326006,HIGH,84.1,36,Month-to-Month,Fiber Optic,1
2642-DTVCO,0.9325425,HIGH,85.05,9,Month-to-Month,Fiber Optic,1
9369-XFEHK,0.9325395,HIGH,80.6,33,Month-to-Month,Cable,1
7029-RPUAV,0.93204445,HIGH,100.45,17,Month-to-Month,Cable,1
4952-YSOGZ,0.9320052,HIGH,85.95,4,Month-to-Month,Fiber Optic,1
1771-OADNZ,0.93194073,HIGH,95.9,29,Month-to-Month,Fiber Optic,1
6372-RFVNS,0.9318274,HIGH,78.8,1,Month-to-Month,Fiber Optic,1
8258-GSTJK,0.93182474,HIGH,77.0,3,Month-to-Month,Fiber Optic,1
2660-EMUBI,0.9317144,HIGH,95.35,10,Month-to-Month,Fiber Optic,1
6015-VVHHE,0.93169945,HIGH,83.15,5,Month-to-Month,Fiber Optic,1
7130-VTEWQ,0.9316986,HIGH,75.75,8,Month-to-Month,Fiber Optic,1
9606-PBKBQ,0.93159306,HIGH,85.0,32,Month-to-Month,Fiber Optic,1
5276-KQWHG,0.93154186,HIGH,69.6,2,Month-to-Month,Fiber Optic,1
6688-UZPWD,0.93142486,HIGH,102.0,11,Month-to-Month,Fiber Optic,1
1724-BQUHA,0.93135,HIGH,89.5,5,Month-to-Month,Fiber Optic,1
4822-RVYBB,0.93127936,HIGH,100.6,8,Month-to-Month,Fiber Optic,1
9279-CJEOJ,0.93126976,HIGH,95.4,21,Month-to-Month,Fiber Optic,0
7890-VYYWG,0.9308632,HIGH,36.45,3,Month-to-Month,DSL,1
5445-UTODQ,0.930532,HIGH,81.1,7,Month-to-Month,Fiber Optic,1
6683-VLCTZ,0.93046737,HIGH,98.55,20,Month-to-Month,Fiber Optic,1
2260-USTRB,0.9303486,HIGH,70.2,2,Month-to-Month,Fiber Optic,1
2725-KXXWT,0.9302316,HIGH,90.75,1,Month-to-Month,Fiber Optic,1
8290-YWKHZ,0.9301535,HIGH,93.2,32,Month-to-Month,Fiber Optic,1
4514-GFCFI,0.93009645,HIGH,84.75,16,Month-to-Month,Fiber Optic,1
3707-GNWHM,0.9297106,HIGH,74.25,1,Month-to-Month,Fiber Optic,1
6140-QNRQQ,0.9293861,HIGH,71.55,1,Month-to-Month,Fiber Optic,1
9514-JDSKI,0.9292266,HIGH,40.2,1,Month-to-Month,DSL,1
8382-SHQEH,0.92920846,HIGH,84.9,8,Month-to-Month,Fiber Optic,1
4248-QPAVC,0.9291699,HIGH,85.35,17,Month-to-Month,Fiber Optic,1
4273-MBHYA,0.9288698,HIGH,89.35,1,Month-to-Month,Fiber Optic,0
3346-BRMIS,0.92883575,HIGH,48.35,18,Month-to-Month,DSL,1
7180-PISOG,0.9284041,HIGH,74.5,1,Month-to-Month,Fiber Optic,1
6474-FVJLC,0.92839676,HIGH,86.0,2,Month-to-Month,Fiber Optic,1
4587-VVTOX,0.92837346,HIGH,105.3,6,Month-to-Month,Fiber Optic,1
7994-UYIVZ,0.92832845,HIGH,85.65,8,Month-to-Month,Fiber Optic,0
5919-TMRGD,0.92821556,HIGH,79.35,1,Month-to-Month,Fiber Optic,1
3536-IQCTX,0.92817384,HIGH,85.3,32,Month-to-Month,Fiber Optic,1
7495-OOKFY,0.92817324,HIGH,80.65,8,Month-to-Month,Fiber Optic,1
3565-UNOCC,0.9280221,HIGH,99.05,29,Month-to-Month,Fiber Optic,1
8740-CRYFY,0.9279824,HIGH,78.95,1,Month-to-Month,Fiber Optic,1
7576-OYWBN,0.92772764,HIGH,76.05,3,Month-to-Month,Fiber Optic,1
5565-FILXA,0.92764765,HIGH,96.15,16,Month-to-Month,Fiber Optic,1
1496-GGSUK,0.92764425,HIGH,25.7,1,Month-to-Month,Cable,1
6521-YYTYI,0.92759275,HIGH,93.3,1,Month-to-Month,Fiber Optic,1
3519-ZKXGG,0.92756945,HIGH,75.85,3,Month-to-Month,Fiber Optic,1
7074-IEVOJ,0.9275112,HIGH,79.4,3,Month-to-Month,Fiber Optic,1
5747-PMBSQ,0.9273797,HIGH,92.5,10,Month-to-Month,Fiber Optic,1
8010-EZLOU,0.92720497,HIGH,80.2,15,Month-to-Month,Fiber Optic,1
3722-WPXTK,0.9271971,HIGH,88.35,1,Month-to-Month,Fiber Optic,1
3295-YVUSR,0.9269931,HIGH,72.6,2,Month-to-Month,Fiber Optic,0
5494-HECPR,0.92696184,HIGH,80.25,1,Month-to-Month,Fiber Optic,1
0495-RVCBF,0.9269595,HIGH,79.7,1,Month-to-Month,Fiber Optic,1
6457-USBER,0.92693704,HIGH,80.8,1,Month-to-Month,Fiber Optic,1
8603-IJWDN,0.926937,HIGH,86.6,1,Month-to-Month,Fiber Optic,1
4021-RQSNY,0.92682594,HIGH,98.5,29,Month-to-Month,Fiber Optic,1
9231-ZJYAM,0.92682433,HIGH,78.85,4,Month-to-Month,Fiber Optic,1
3276-HDUEG,0.92673326,HIGH,75.05,1,Month-to-Month,Fiber Optic,1
5960-WPXQM,0.92661995,HIGH,79.05,1,Month-to-Month,Fiber Optic,1
9282-IZGQK,0.92658424,HIGH,85.0,1,Month-to-Month,Fiber Optic,1
3871-IKPYH,0.926557,HIGH,69.1,1,Month-to-Month,Fiber Optic,1
8225-BTJAU,0.9264556,HIGH,79.25,10,Month-to-Month,Fiber Optic,1
1564-NTYXF,0.9264162,HIGH,82.0,13,Month-to-Month,Fiber Optic,1
3006-XIMLN,0.92635113,HIGH,94.2,2,Month-to-Month,Fiber Optic,1
1143-NMNQJ,0.92632437,HIGH,85.7,2,Month-to-Month,Fiber Optic,1
1455-ESIQH,0.92623997,HIGH,89.1,1,Month-to-Month,Fiber Optic,1
7851-WZEKY,0.9261738,HIGH,95.15,2,Month-to-Month,Fiber Optic,1
2868-MZAGQ,0.9257579,HIGH,79.25,1,Month-to-Month,Fiber Optic,1
3247-ZVOUO,0.9256717,HIGH,85.55,10,Month-to-Month,Fiber Optic,1
3776-EKTKM,0.92563635,HIGH,36.45,1,Month-to-Month,Cable,1
3158-MOERK,0.9255826,HIGH,96.0,2,Month-to-Month,Fiber Optic,1
3254-YRILK,0.9254754,HIGH,88.2,19,Month-to-Month,Fiber Optic,1
4614-NUVZD,0.9254715,HIGH,81.1,1,Month-to-Month,Fiber Optic,1
4433-JCGCG,0.9253517,HIGH,101.0,46,Month-to-Month,Fiber Optic,1
1820-TQVEV,0.92529714,HIGH,69.55,1,Month-to-Month,Fiber Optic,1
1862-SKORY,0.9252964,HIGH,39.3,40,Month-to-Month,Cable,1
7665-TOALD,0.9250847,HIGH,69.6,1,Month-to-Month,Fiber Optic,1
0151-ONTOV,0.92504454,HIGH,70.9,1,Month-to-Month,Fiber Optic,1
0519-XUZJU,0.9249262,HIGH,70.75,1,Month-to-Month,Fiber Optic,1
2474-BRUCM,0.92464423,HIGH,101.85,40,Month-to-Month,Fiber Optic,1
1761-AEZZR,0.9244106,HIGH,79.55,1,Month-to-Month,Fiber Optic,1
3398-FSHON,0.9242672,HIGH,91.3,12,Month-to-Month,Fiber Optic,1
8063-GBATB,0.9242637,HIGH,85.25,27,Month-to-Month,Fiber Optic,1
5357-TZHPP,0.92426103,HIGH,84.4,9,Month-to-Month,Fiber Optic,1
2778-OCLGR,0.924237,HIGH,39.1,24,Month-to-Month,DSL,1
1062-LHZOD,0.92416734,HIGH,69.9,1,Month-to-Month,Fiber Optic,1
2034-GDRCN,0.9241098,HIGH,90.4,2,Month-to-Month,Fiber Optic,1
1569-TTNYJ,0.92406,HIGH,78.75,5,Month-to-Month,Fiber Optic,1
1122-JWTJW,0.9240061,HIGH,70.65,1,Month-to-Month,Fiber Optic,1
0011-IGKFF,0.92395586,HIGH,98.0,13,Month-to-Month,Fiber Optic,1
5959-BELXA,0.9239488,HIGH,96.15,32,Month-to-Month,Fiber Optic,1
7235-NXZCP,0.92390597,HIGH,74.85,2,Month-to-Month,Fiber Optic,1
8058-INTPH,0.92384565,HIGH,79.65,1,Month-to-Month,Fiber Optic,1
5419-CONWX,0.9236305,HIGH,99.8,4,Month-to-Month,Fiber Optic,1
7142-HVGBG,0.9236146,HIGH,103.0,43,Month-to-Month,Fiber Optic,1
2982-VPSGI,0.9236,HIGH,94.0,11,Month-to-Month,Fiber Optic,1
5649-ANRML,0.9235694,HIGH,95.1,2,Month-to-Month,Fiber Optic,1
7321-VGNKU,0.923374,HIGH,70.35,2,Month-to-Month,Fiber Optic,0
9300-RENDD,0.9232874,HIGH,79.95,1,Month-to-Month,Fiber Optic,1
0947-MUGVO,0.92303675,HIGH,73.65,20,Month-to-Month,Fiber Optic,1
5834-ASPWA,0.9230082,HIGH,75.45,1,Month-to-Month,Fiber Optic,1
3027-ZTDHO,0.9229207,HIGH,89.9,1,Month-to-Month,Fiber Optic,1
6029-WTIPC,0.9227589,HIGH,101.1,37,Month-to-Month,Fiber Optic,1
1157-BQCUW,0.92260027,HIGH,74.95,1,Month-to-Month,Fiber Optic,1
5376-DEQCP,0.92229146,HIGH,70.6,1,Month-to-Month,Fiber Optic,1
1031-IIDEO,0.92229146,HIGH,70.85,1,Month-to-Month,Fiber Optic,1
9728-FTTVZ,0.92229146,HIGH,69.2,1,Month-to-Month,Fiber Optic,1
0328-GRPMV,0.92229146,HIGH,70.1,1,Month-to-Month,Fiber Optic,1
7660-HDPJV,0.92229146,HIGH,69.2,1,Month-to-Month,Fiber Optic,1
1658-BYGOY,0.9221623,HIGH,95.45,18,Month-to-Month,Fiber Optic,1
5419-JPRRN,0.92215866,HIGH,101.45,1,Month-to-Month,Fiber Optic,1
4094-NSEDU,0.92207676,HIGH,94.25,21,Month-to-Month,Fiber Optic,1
4285-GYRQC,0.9218814,HIGH,86.25,7,Month-to-Month,Fiber Optic,1
5609-CEBID,0.9216586,HIGH,94.1,20,Month-to-Month,Fiber Optic,1
9897-KXHCM,0.9212361,HIGH,80.3,3,Month-to-Month,Fiber Optic,1
6543-XRMYR,0.92103446,HIGH,99.7,30,Month-to-Month,Fiber Optic,1
4415-IJZTP,0.9210073,HIGH,74.5,1,Month-to-Month,Fiber Optic,1
1254-IZEYF,0.9209991,HIGH,99.95,31,Month-to-Month,Fiber Optic,1
4750-ZRXIU,0.9208612,HIGH,84.6,4,Month-to-Month,Cable,1
8685-WHQPW,0.92085606,HIGH,74.4,22,Month-to-Month,Fiber Optic,1
3999-QGRJH,0.9206914,HIGH,69.7,8,Month-to-Month,Fiber Optic,1
0722-TROQR,0.92067116,HIGH,74.9,4,Month-to-Month,Fiber Optic,1
4603-JANFB,0.9205755,HIGH,69.85,1,Month-to-Month,Fiber Optic,1
8380-PEFPE,0.9205755,HIGH,71.65,1,Month-to-Month,Fiber Optic,1
6457-GIRWB,0.9205755,HIGH,69.35,1,Month-to-Month,Fiber Optic,1
2619-WFQWU,0.92057073,HIGH,70.15,1,Month-to-Month,Fiber Optic,1
2004-OCQXK,0.9205611,HIGH,81.95,1,Month-to-Month,Fiber Optic,1
3494-JCHRQ,0.9205515,HIGH,70.05,1,Month-to-Month,Fiber Optic,1
1452-VOQCH,0.9204843,HIGH,75.1,1,Month-to-Month,Fiber Optic,0
7395-IGJOS,0.9204152,HIGH,81.5,17,Month-to-Month,Fiber Optic,1
7379-POKDZ,0.9203524,HIGH,70.3,3,Month-to-Month,Fiber Optic,1
3389-YGYAI,0.9203517,HIGH,105.5,8,Month-to-Month,Fiber Optic,1
3244-DCJWY,0.92032653,HIGH,70.25,1,Month-to-Month,Fiber Optic,1
3428-XZMAZ,0.9201964,HIGH,69.35,1,Month-to-Month,Fiber Optic,1
0897-FEGMU,0.9201484,HIGH,99.5,11,Month-to-Month,Fiber Optic,1
6502-MJQAE,0.92014694,HIGH,69.6,1,Month-to-Month,Fiber Optic,1
0709-TVGUR,0.9201152,HIGH,74.55,9,Month-to-Month,Fiber Optic,1
0488-GSLFR,0.92011344,HIGH,69.5,1,Month-to-Month,Fiber Optic,1
4550-EVXNY,0.92007107,HIGH,69.65,1,Month-to-Month,Fiber Optic,1
2485-ITVKB,0.91999495,HIGH,35.1,2,Month-to-Month,DSL,1
8816-VXNZD,0.91992486,HIGH,75.1,1,Month-to-Month,Fiber Optic,1
8943-URTMR,0.9199171,HIGH,79.65,2,Month-to-Month,Fiber Optic,1
7493-TPUWZ,0.91979676,HIGH,79.15,1,Month-to-Month,Fiber Optic,1
0107-YHINA,0.91978365,HIGH,99.75,1,Month-to-Month,Fiber Optic,1
2479-BRAMR,0.9197784,HIGH,83.75,41,Month-to-Month,Fiber Optic,1
0754-UKWQP,0.91962373,HIGH,95.85,2,Month-to-Month,Fiber Optic,1
7594-RQHXR,0.91956717,HIGH,79.6,1,Month-to-Month,Fiber Optic,1
4706-AXVKM,0.91955787,HIGH,84.8,11,Month-to-Month,Fiber Optic,1
4342-HENTK,0.9194786,HIGH,70.65,2,Month-to-Month,Fiber Optic,1
5649-TJHOV,0.919359,HIGH,36.5,27,Month-to-Month,DSL,1
6502-HCJTI,0.9193494,HIGH,94.7,7,Month-to-Month,Fiber Optic,1
8739-WWKDU,0.9192019,HIGH,89.5,25,Month-to-Month,Fiber Optic,1
5583-SXDAG,0.9191901,HIGH,70.0,1,Month-to-Month,Fiber Optic,1
8992-JQYUN,0.9190322,HIGH,50.35,1,Month-to-Month,DSL,1
7254-IQWOZ,0.9189983,HIGH,69.65,1,Month-to-Month,Fiber Optic,1
7577-SWIFR,0.91899705,HIGH,89.25,1,Month-to-Month,Fiber Optic,0
4702-IOQDC,0.918969,HIGH,70.1,1,Month-to-Month,Fiber Optic,1
8988-ECPJR,0.9187664,HIGH,79.6,34,Month-to-Month,Fiber Optic,1
5569-OUICF,0.9187429,HIGH,101.3,28,Month-to-Month,Fiber Optic,1
6892-EZDTG,0.9186399,HIGH,91.65,4,Month-to-Month,Fiber Optic,1
2761-OCIAX,0.9186036,HIGH,74.7,2,Month-to-Month,Fiber Optic,1
7274-RTAPZ,0.9185371,HIGH,90.55,1,Month-to-Month,Fiber Optic,1
9804-ICWBG,0.91831034,HIGH,69.9,1,Month-to-Month,Fiber Optic,1
6168-WFVVF,0.91821533,HIGH,70.3,3,Month-to-Month,Fiber Optic,1
5373-SFODM,0.91820574,HIGH,85.25,36,Month-to-Month,Fiber Optic,1
6005-OBZPH,0.918197,HIGH,89.15,26,Month-to-Month,Fiber Optic,1
4154-AQUGT,0.9180375,HIGH,89.05,13,Month-to-Month,Fiber Optic,1
9898-KZQDZ,0.91797733,HIGH,94.55,40,Month-to-Month,Fiber Optic,1
0511-JTEOY,0.9178039,HIGH,71.1,1,Month-to-Month,Fiber Optic,1
2722-JMONI,0.91767925,HIGH,49.55,1,Month-to-Month,Cable,1
4248-HCETZ,0.9176118,HIGH,79.65,30,Month-to-Month,Fiber Optic,1
8510-AWCXC,0.9176062,HIGH,100.8,13,Month-to-Month,Fiber Optic,1
0818-OCPZO,0.9171659,HIGH,81.45,27,Month-to-Month,Fiber Optic,1
4236-XPXAV,0.9171547,HIGH,99.15,5,Month-to-Month,Fiber Optic,1
0318-QUUOB,0.91701233,HIGH,80.55,1,Month-to-Month,Fiber Optic,1
4412-YLTKF,0.91696095,HIGH,78.05,27,Month-to-Month,Fiber Optic,1
6416-TVAIH,0.91684234,HIGH,68.5,1,Month-to-Month,Fiber Optic,1
0644-OQMDK,0.91681975,HIGH,70.65,4,Month-to-Month,Fiber Optic,0
5875-YPQFJ,0.916633,HIGH,69.9,1,Month-to-Month,Fiber Optic,1
